question;answer;label
Zou and Chou are practicing their $100$-meter sprints by running $6$ races against each other. Zou wins the first race, and after that, the probability that one of them wins a race is $\frac23$ if they won the previous race but only $\frac13$ if they lost the previous race. The probability that Zou will win exactly $5$ of the $6$ races is $\frac mn$, where $m$ and $n$ are relatively prime positive integers. Find $m+n.$;We have $5$ cases, depending on which race Zou lost. Let $\text{W}$ denote a won race, and $\text{L}$ denote a lost race for Zou. The possible cases are $\text{WWWWL, WWWLW, WWLWW, WLWWW, LWWWW}$. The first case has probability $\left(\frac{2}{3} \right)^4 \cdot \frac{1}{3} = \frac{16}{3^5}$. The second case has probability $\left( \frac{2}{3} \right)^3 \cdot \frac{1}{3} \cdot \frac{1}{3} = \frac{8}{3^5}$. The third has probability $\left( \frac{2}{3} \right)^2 \cdot \frac{1}{3} \cdot \frac{1}{3} \cdot \frac{2}{3} = \frac{8}{3^5}$. The fourth has probability $\frac{2}{3} \cdot \frac{1}{3} \cdot \frac{1}{3} \cdot \left( \frac{2}{3} \right)^2 = \frac{8}{3^5}$. Lastly, the fifth has probability $\frac{1}{3} \cdot \frac{1}{3} \cdot \left( \frac{2}{3} \right)^3 = \frac{8}{3^5}$. Adding these up, the total probability is $\frac{16 + 8 \cdot 4}{3^5} = \frac{16 \cdot 3}{3^5} = \frac{16}{81}$, so $m+n = \boxed{097}$;97
Find the number of positive integers less than $1000$ that can be expressed as the difference of two integral powers of $2.$;We want to find the number of positive integers $n<1000$ which can be written in the form $n = 2^a - 2^b$ for some non-negative integers $a > b \ge 0$ (note that if $a=b$, then $2^a-2^b = 0$). We first observe $a$ must be at most 10, if $a \ge 11$, then $2^a - 2^b \ge 2^{10} > 1000$. As $2^{10} = 1024 \approx 1000$, we can first choose two different numbers $a > b$ from the set $\{0,1,2,\ldots,10\}$ in $\binom{11}{2}=55$ ways. This includes $(a,b) = (10,0)$, $(10,1)$, $(10,2)$, $(10,3)$, $(10,4)$ which are invalid as $2^a - 2^b > 1000$ in this case. For all other choices $a$ and $b$, the value of $2^a - 2^b$ is less than 1000. We claim that for all other choices of $a$ and $b$, the values of $2^a - 2^b$ are pairwise distinct. More specifically, if $(a_1,b_1) \neq (a_2,b_2)$ where $10 \ge a_1 > b_1 \ge 0$ and $10 \ge a_2 > b_2 \ge 0$, we must show that $2^{a_1}-2^{b_1} \neq 2^{a_2} - 2^{b_2}$. Suppose otherwise for sake of contradiction, rearranging yields $2^{a_1}+2^{b_2} = 2^{a_2}+2^{b_1}$. We use the fact that every positive integer has a unique binary representation: If $a_1 \neq b_2$ then $\{a_1,b_2\} = \{a_2,b_1\}$, from here we can deduce either $a_1=a_2$ and $b_1=b_2$ (contradicting the assumption that $(a_1,b_1) \neq (a_2,b_2)$, or $a_1=b_1$ and $a_2=b_2$ (contradicting the assumption $a_1>b_1$ and $a_2>b_2$). If $a_1 = b_2$ then $2^{a_1}+2^{b_2} = 2 \times 2^{a_1}$, and it follows that $a_1=a_2=b_1=b_2$, also contradicting the assumption $(a_1,b_1) \neq (a_2,b_2)$. Hence we obtain contradiction.* Then there are $\binom{11}{2}-5$ choices for $(a,b)$ for which $2^a - 2^b$ is a positive integer less than 1000, by the above claim, each choice of $(a,b)$ results in a different positive integer $n$. Then there are $55-5 = \boxed{050}$ integers which can be expressed as a difference of two powers of 2.;50
Find the number of ways $66$ identical coins can be separated into three nonempty piles so that there are fewer coins in the first pile than in the second pile and fewer coins in the second pile than in the third pile.;Suppose we have $1$ coin in the first pile. Then $(1, 2, 63), (1, 3, 62), \ldots, (1, 32, 33)$ all work for a total of $31$ piles. Suppose we have $2$ coins in the first pile, then $(2, 3, 61), (2, 4, 60), \ldots, (2, 31, 33)$ all work, for a total of $29$. Continuing this pattern until $21$ coins in the first pile, we have the sum \begin{align*} 31+29+28+26+25+\cdots+4+2+1 &= (31+28+25+22+\cdots+1)+(29+26+23+\cdots+2) \\ &= 176+155 \\ &= \boxed{331}. \end{align*};331
Call a three-term strictly increasing arithmetic sequence of integers special if the sum of the squares of the three terms equals the product of the middle term and the square of the common difference. Find the sum of the third terms of all special sequences.;Let the terms be $a-b$, $a$, and $a+b$. Then we want $(a-b)^2+a^2+(a+b)^2=ab^2$, or $3a^2+2b^2=ab^2$. Rearranging, we get $b^2=\frac{3a^2}{a-2}$. Simplifying further, $b^2=3a+6+\frac{12}{a-2}$. Looking at this second equation, since the right side must be an integer, $a-2$ must equal $\pm1, 2, 3, 4, 6, 12$. Looking at the first equation, we see $a>2$ since $b^2$ is positive. This means we must test $a=3, 4, 5, 6, 8, 14$. After testing these, we see that only $a=5$ and $a=14$ work which give $b=5$ and $b=7$ respectively. Thus the answer is $10+21=\boxed{031}$;31
Segments $\overline{AB}, \overline{AC},$ and $\overline{AD}$ are edges of a cube and $\overline{AG}$ is a diagonal through the center of the cube. Point $P$ satisfies $BP=60\sqrt{10}$, $CP=60\sqrt{5}$, $DP=120\sqrt{2}$, and $GP=36\sqrt{7}$. Find $AP.$;First scale down the whole cube by $12$. Let point $P$ have coordinates $(x, y, z)$, point $A$ have coordinates $(0, 0, 0)$, and $s$ be the side length. Then we have the equations \begin{align*} (s-x)^2+y^2+z^2&=\left(5\sqrt{10}\right)^2, \\ x^2+(s-y)^2+z^2&=\left(5\sqrt{5}\right)^2, \\ x^2+y^2+(s-z)^2&=\left(10\sqrt{2}\right)^2, \\ (s-x)^2+(s-y)^2+(s-z)^2&=\left(3\sqrt{7}\right)^2. \end{align*} These simplify into \begin{align*} s^2+x^2+y^2+z^2-2sx&=250, \\ s^2+x^2+y^2+z^2-2sy&=125, \\ s^2+x^2+y^2+z^2-2sz&=200, \\ 3s^2-2s(x+y+z)+x^2+y^2+z^2&=63. \end{align*} Adding the first three equations together, we get $3s^2-2s(x+y+z)+3(x^2+y^2+z^2)=575$. Subtracting this from the fourth equation, we get $2(x^2+y^2+z^2)=512$, so $x^2+y^2+z^2=256$. This means $PA=16$. However, we scaled down everything by $12$ so our answer is $16*12=\boxed{192}$.;192
Find the number of pairs $(m,n)$ of positive integers with $1\le m<n\le 30$ such that there exists a real number $x$ satisfying $\sin(mx) + \sin(nx) = 2$;It is trivial that the maximum value of $\sin \theta$ is $1$, is achieved at $\theta = \frac{\pi}{2}+2k\pi$ for some integer $k$. This implies that $\sin(mx) = \sin(nx) = 1$, and that $mx = \frac{\pi}{2}+2a\pi$ and $nx = \frac{\pi}{2}+2b\pi$, for integers $a, b$. Taking their ratio, we have \[\frac{mx}{nx} = \frac{\frac{\pi}{2}+2a\pi}{\frac{\pi}{2}+2b\pi} \implies \frac{m}{n} = \frac{4a + 1}{4b + 1} \implies \frac{m}{4a + 1} = \frac{n}{4b + 1} = k.\] It remains to find all $m, n$ that satisfy this equation. If $k = 1$, then $m \equiv n \equiv 1 \pmod 4$. This corresponds to choosing two elements from the set $\{1, 5, 9, 13, 17, 21, 25, 29\}$. There are $\binom 82$ ways to do so. If $k < 1$, by multiplying $m$ and $n$ by the same constant $c = \frac{1}{k}$, we have that $mc \equiv nc \equiv 1 \pmod 4$. Then either $m \equiv n \equiv 1 \pmod 4$, or $m \equiv n \equiv 3 \pmod 4$. But the first case was already counted, so we don't need to consider that case. The other case corresponds to choosing two numbers from the set $\{3, 7, 11, 15, 19, 23, 27\}$. There are $\binom 72$ ways here. (This argument seems to have a logical flaw). Finally, if $k > 1$, note that $k$ must be an integer. This means that $m, n$ belong to the set $\{k, 5k, 9k, \dots\}$, or $\{3k, 7k, 11k, \dots\}$. Taking casework on $k$, we get the sets $\{2, 10, 18, 26\}, \{6, 14, 22, 30\}, \{4, 20\}, \{12, 28\}$. Some sets have been omitted, this is because they were counted in the other cases already. This sums to $\binom 42 + \binom 42 + \binom 22 + \binom 22$. In total, there are $\binom 82 + \binom 72 + \binom 42 + \binom 42 + \binom 22 + \binom 22 = \boxed{063}$ pairs of $(m, n)$.;63
Find the number of integers $c$ such that the equation \[\left||20|x|-x^2|-c\right|=21\]has $12$ distinct real solutions.;Removing the absolute value bars from the equation successively, we get \begin{align*} \left|\left|20|x|-x^2\right|-c\right|&=21 \\ \left|20|x|-x^2\right|&= c \pm21 \\ 20|x|-x^2 &= \pm c \pm 21 \\ x^2 \pm 20x \pm c \pm21 &= 0. \end{align*} The discriminant of this equation is \[\sqrt{400-4(\pm c \pm 21)}.\] Equating the discriminant to $0$, we see that there will be two distinct solutions to each of the possible quadratics above only in the interval $-79 < c < 79$. However, the number of zeros the equation $ax^2+b|x|+k$ has is determined by where $ax^2+bx+k$ and $ax^2-bx+k$ intersect, namely at $(0,k)$. When $k<0$, $a>0$, $ax^2+b|x|+k$ will have only $2$ solutions, and when $k>0$, $a>0$, then there will be $4$ real solutions, if they exist at all. In order to have $12$ solutions here, we thus need to ensure $-c+21<0$, so that exactly $2$ out of the $4$ possible equations of the form $ax^2+b|x|+k$ given above have y-intercepts below $0$ and only $2$ real solutions, while the remaining $2$ equations have $4$ solutions. This occurs when $c>21$, so our final bounds are $21<c<79$, giving us $\boxed{057}$ valid values of $c$.;57
Consider the sequence $(a_k)_{k\ge 1}$ of positive rational numbers defined by $a_1 = \frac{2020}{2021}$ and for $k\ge 1$, if $a_k = \frac{m}{n}$ for relatively prime positive integers $m$ and $n$, then \[a_{k+1} = \frac{m + 18}{n+19}.\]Determine the sum of all positive integers $j$ such that the rational number $a_j$ can be written in the form $\frac{t}{t+1}$ for some positive integer $t$.;We know that $a_{1}=\tfrac{t}{t+1}$ when $t=2020$ so $1$ is a possible value of $j$. Note also that $a_{2}=\tfrac{2038}{2040}=\tfrac{1019}{1020}=\tfrac{t}{t+1}$ for $t=1019$. Then $a_{2+q}=\tfrac{1019+18q}{1020+19q}$ unless $1019+18q$ and $1020+19q$ are not relatively prime which happens when $q+1$ divides $18q+1019$ (by the Euclidean Algorithm), or $q+1$ divides $1001$. Thus, the least value of $q$ is $6$ and $j=2+6=8$. We know $a_{8}=\tfrac{1019+108}{1020+114}=\tfrac{1127}{1134}=\tfrac{161}{162}$. Now $a_{8+q}=\tfrac{161+18q}{162+19q}$ unless $18q+161$ and $19q+162$ are not relatively prime which happens the first time $q+1$ divides $18q+161$ or $q+1$ divides $143$ or $q=10$, and $j=8+10=18$. We have $a_{18}=\tfrac{161+180}{162+190}=\tfrac{341}{352}=\tfrac{31}{32}$. Now $a_{18+q}=\tfrac{31+18q}{32+19q}$ unless $18q+31$ and $19q+32$ are not relatively prime. This happens the first time $q+1$ divides $18q+31$ implying $q+1$ divides $13$, which is prime so $q=12$ and $j=18+12=30$. We have $a_{30}=\tfrac{31+216}{32+228}=\tfrac{247}{260}=\tfrac{19}{20}$. We have $a_{30+q}=\tfrac{18q+19}{19q+20}$, which is always reduced by EA, so the sum of all $j$ is $1+2+8+18+30=\boxed{059}$.;59
Let $A_1A_2A_3\ldots A_{12}$ be a dodecagon ($12$-gon). Three frogs initially sit at $A_4,A_8,$ and $A_{12}$. At the end of each minute, simultaneously, each of the three frogs jumps to one of the two vertices adjacent to its current position, chosen randomly and independently with both choices being equally likely. All three frogs stop jumping as soon as two frogs arrive at the same vertex at the same time. The expected number of minutes until the frogs stop jumping is $\frac mn$, where $m$ and $n$ are relatively prime positive integers. Find $m+n$.;Define the distance between two frogs as the number of sides between them that do not contain the third frog. Let $E(a,b,c)$ denote the expected number of minutes until the frogs stop jumping, such that the distances between the frogs are $a,b,$ and $c$ (in either clockwise or counterclockwise order). Without the loss of generality, assume that $a\leq b\leq c.$ We wish to find $E(4,4,4).$ Note that: At any moment before the frogs stop jumping, the only possibilities for $(a,b,c)$ are $(4,4,4),(2,4,6),$ and $(2,2,8).$ $E(a,b,c)$ does not depend on the actual positions of the frogs, but depends on the distances between the frogs. At the end of each minute, each frog has $2$ outcomes. So, there are $2^3=8$ outcomes in total. We have the following system of equations: \begin{align*} E(4,4,4)&=1+\frac{2}{8}E(4,4,4)+\frac{6}{8}E(2,4,6), \\ E(2,4,6)&=1+\frac{4}{8}E(2,4,6)+\frac{1}{8}E(4,4,4)+\frac{1}{8}E(2,2,8), \\ E(2,2,8)&=1+\frac{2}{8}E(2,2,8)+\frac{2}{8}E(2,4,6). \end{align*} Rearranging and simplifying each equation, we get \begin{align*} E(4,4,4)&=\frac{4}{3}+E(2,4,6), &(1) \\ E(2,4,6)&=2+\frac{1}{4}E(4,4,4)+\frac{1}{4}E(2,2,8), &\hspace{12.75mm}(2) \\ E(2,2,8)&=\frac{4}{3}+\frac{1}{3}E(2,4,6). &(3) \end{align*} Substituting $(1)$ and $(3)$ into $(2),$ we obtain \[E(2,4,6)=2+\frac{1}{4}\left[\frac{4}{3}+E(2,4,6)\right]+\frac{1}{4}\left[\frac{4}{3}+\frac{1}{3}E(2,4,6)\right],\] from which $E(2,4,6)=4.$ Substituting this into $(1)$ gives $E(4,4,4)=\frac{16}{3}.$ Therefore, the answer is $16+3=\boxed{019}.$;19
Circles $\omega_1$ and $\omega_2$ with radii $961$ and $625$, respectively, intersect at distinct points $A$ and $B$. A third circle $\omega$ is externally tangent to both $\omega_1$ and $\omega_2$. Suppose line $AB$ intersects $\omega$ at two points $P$ and $Q$ such that the measure of minor arc $\widehat{PQ}$ is $120^{\circ}$. Find the distance between the centers of $\omega_1$ and $\omega_2$.;Let $O_{1}$, $O_{2}$, and $O$ be the centers of $\omega_{1}$, $\omega_{2}$, and $\omega$ with $r_{1}$, $r_{2}$, and $r$ their radii, respectively. Then, the distance from $O$ to the radical axis $\ell\equiv\overline{AB}$ of $\omega_{1}, \omega_{2}$ is equal to $\frac{1}{2}r$. Let $x=O_{1}O_{2}$ and $O^{\prime}$ the orthogonal projection of $O$ onto line $\ell$. Define the function $f:\mathbb{R}^{2}\rightarrow\mathbb{R}$ by \[f(X)=\text{Pow}_{\omega_{1}}(X)-\text{Pow}_{\omega_{2}}(X).\] Then \begin{align*} f(O_{1})=-r_{1}^{2}-(x-r_{2})(x+r_{2})&=-x^{2}+r_{2}^{2}-r_{1}^{2}, \\ f(O_{2})=(x-r_{1})(x+r_{1})-(-r_{2}^{2})&=x^{2}+r_{2}^{2}-r_{1}^{2}, \\ f(O)=r(r+2r_{1})-r(r+2r_{2})&=2r(r_{1}-r_{2}), \\ f(O^{\prime})&=0. \end{align*} By linearity, \[\frac{f(O_{2})-f(O_{1})}{f(O)-f(O^{\prime})}=\frac{O_{1}O_{2}}{OO^{\prime}}=\frac{x}{\tfrac{1}{2}r}=\frac{2x}{r}.\] Notice that $f(O_{2})-f(O_{1})=x^{2}-(-x^{2})=2x^{2}$ and $f(O)-f(O^{\prime})=2r(r_{1}-r_{2})$, thus \begin{align*}\frac{2x^{2}}{2r(r_{1}-r_{2})}&=\frac{2x}{r}\end{align*} Dividing both sides by $\frac{2x}{r}$ (which is obviously nonzero as $x$ is nonzero) gives us \begin{align*}\frac{x}{2(r_{1}-r_{2})}&=1\end{align*} so $x=2(r_{1}-r_{2})$. Since $r_{1}=961$ and $r_{2}=625$, the answer is $x=2\cdot(961-625)=\boxed{672}$.;672
